Time	u_1	var_u1	
8.16	0.33159	1	
8.17	-0.52965	1	
8.18	0.57574	1	
8.19	0.1519	1	
8.2	0.015907	1	
8.21	-0.27987	1	
8.22	0.49856	1	
8.23	-1.4034	1	
8.24	0.05005	1	
8.25	-0.089558	1	
8.26	-0.45232	1	
8.27	1.1178	1	
8.28	-0.26357	1	
8.29	1.0169	1	
8.3	1.4576	1	
8.31	0.33038	1	
8.32	0.77053	1	
8.33	1.1377	1	
8.34	0.42265	1	
8.35	1.0499	1	
8.36	-0.74813	1	
8.37	1.6302	1	
8.38	-0.46439	1	
8.39	-1.2983	1	
8.4	1.9203	1	
8.41	0.47839	1	
8.42	0.99532	1	
8.43	0.18839	1	
8.44	-0.46371	1	
8.45	-2.5109	1	
8.46	1.1935	1	
8.47	0.28575	1	
8.48	0.38023	1	
8.49	0.9883	1	
8.5	-0.83156	1	
8.51	-0.13659	1	
8.52	1.7452	1	
8.53	1.2008	1	
8.54	-0.67335	1	
8.55	-1.5904	1	
8.56	0.046613	1	
8.57	0.83678	1	
8.58	1.5701	1	
8.59	0.7263	1	
8.6	-0.48489	1	
8.61	0.94841	1	
8.62	-0.52528	1	
8.63	-0.30913	1	
8.64	0.0028507	1	
8.65	-0.56808	1	
8.66	0.39505	1	
8.67	-0.22926	1	
8.68	0.38965	1	
8.69	0.21753	1	
8.7	0.27476	1	
8.71	0.18557	1	
8.72	1.927	1	
8.73	1.3085	1	
8.74	0.76172	1	
8.75	-0.75984	1	
8.76	-0.91427	1	
8.77	-1.2488	1	
8.78	3.3255	1	
8.79	1.697	1	
8.8	0.98595	1	
8.81	-0.24099	1	
8.82	-0.40885	1	
8.83	1.2894	1	
8.84	2.311	1	
8.85	-0.94323	1	
8.86	0.30485	1	
8.87	0.67407	1	
8.88	-1.2296	1	
8.89	1.6077	1	
8.9	0.35585	1	
8.91	2.6867	1	
8.92	0.38756	1	
8.93	1.1916	1	
8.94	-0.35614	1	
8.95	0.16529	1	
8.96	-0.37473	1	
8.97	1.1904	1	
8.98	2.1034	1	
8.99	0.21167	1	
9	1.2454	1	
9.01	0.30833	1	
9.02	0.91845	1	
9.03	2.0162	1	
9.04	0.94382	1	
9.05	-0.20976	1	
9.06	-0.026507	1	
9.07	0.6642	1	
9.08	0.64586	1	
9.09	-0.024871	1	
9.1	1.025	1	
9.11	2.1142	1	
9.12	0.59983	1	
9.13	0.64971	1	
9.14	-1.344	1	
9.15	0.086229	1	
9.16	-0.52935	1	
9.17	0.48084	1	
9.18	1.3958	1	
9.19	2.3965	1	
9.2	2.6748	1	
9.21	0.76243	1	
9.22	0.5621	1	
9.23	1.7027	1	
9.24	1.3783	1	
9.25	1.6563	1	
9.26	1.6721	1	
9.27	-0.58366	1	
9.28	1.4398	1	
9.29	0.81059	1	
9.3	0.14457	1	
9.31	0.21389	1	
9.32	2.1916	1	
9.33	0.10295	1	
9.34	-0.32158	1	
9.35	1.1324	1	
9.36	2.931	1	
9.37	0.94823	1	
9.38	1.2334	1	
9.39	-0.010802	1	
9.4	2.604	1	
9.41	1.0571	1	
9.42	1.4644	1	
9.43	-0.015518	1	
9.44	1.7928	1	
9.45	1.33	1	
9.46	-0.21301	1	
9.47	0.9848	1	
9.48	0.4965	1	
9.49	1.0583	1	
9.5	0.7005	1	
9.51	0.76308	1	
9.52	-0.078049	1	
9.53	0.63342	1	
9.54	1.725	1	
9.55	2.705	1	
9.56	-0.19849	1	
9.57	3.3411	1	
9.58	2.4915	1	
9.59	1.1355	1	
9.6	0.66738	1	
9.61	0.27147	1	
9.62	1.8044	1	
9.63	0.27849	1	
9.64	0.51264	1	
9.65	1.8595	1	
9.66	1.4132	1	
9.67	1.8753	1	
9.68	1.4846	1	
9.69	0.58019	1	
9.7	0.46844	1	
9.71	1.7798	1	
9.72	0.31337	1	
9.73	2.1723	1	
9.74	1.7774	1	
9.75	1.2754	1	
9.76	0.99188	1	
9.77	1.3552	1	
9.78	4.5171	1	
9.79	0.87887	1	
9.8	-0.56448	1	
9.81	2.908	1	
9.82	1.6035	1	
9.83	0.34639	1	
9.84	3.6123	1	
9.85	1.5465	1	
9.86	1.2903	1	
9.87	0.21882	1	
9.88	-0.067771	1	
9.89	-0.7708	1	
9.9	0.57511	1	
9.91	-0.054701	1	
9.92	1.6465	1	
9.93	0.6814	1	
9.94	2.7683	1	
9.95	2.5101	1	
9.96	1.1637	1	
9.97	0.71706	1	
9.98	2.1521	1	
9.99	-0.14653	1	
10	1.6737	1	
